Name,Vote Average,Vote Count,Director Popularity,Cast Popularity,Genres,Movie Popularity,Production Companies,Budget,Revenue,Runtime,Release Date Month,TMDB ID,IMDB ID
Bogancloch,0.0,0,4.33,1.518,['Documentary'],5.687,"['Flaneur Films', 'Hopscotch Films', 'Akkeri Films', 'Urth Productions']",0,0,87,2024-08,889747,tt32810133
Stairway,0.0,0,0.001,0.001,"['History', 'War', 'Drama']",5.562,['A&A Cinema'],15000,0,15,2024-08,1303403,tt31827993
Lilies Not for Me,0.0,0,3.822,13.5194,"['Drama', 'History']",5.541,"['Paradise City', 'Wolflight Films']",0,0,99,2024-08,1315655,tt30700695
The House Within,0.0,0,0.001,0.001,['Documentary'],5.24,[],0,0,71,2024-08,1303572,tt30888457
Skategoat,0.0,0,0.883,14.461,['Documentary'],4.983,[],0,0,79,2024-08,837806,tt12966276
Picture This,0.0,0,3.767,12.038076923076924,"['Romance', 'Comedy']",4.918,"['Ingenious Media', '42']",0,0,100,2024-08,1204892,tt29471733
Grant Us Eyes,0.0,0,0.088,2.0191999999999997,"['Crime', 'Thriller']",4.896,[],0,0,50,2024-08,1313702,tt28945042
Cieco Sordo Muto,0.0,0,0.354,1.2557142857142851,['Horror'],4.896,['Digitmovies Alternative Entertainment'],20000,0,85,2024-08,1181561,tt26768833
The Shakedown,0.0,0,3.91,4.073499999999999,"['Crime', 'Comedy']",4.888,"['Sketchbook Studios', 'Amazon Studios']",0,0,104,2024-08,1313243,tt32119308
Marimari,0.0,0,0.245,0,['Documentary'],4.593,[],0,0,97,2024-08,1316966,tt32886648
Judging Juries,0.0,0,1.544,0.17533333333333337,[],4.496,[],0,0,24,2024-08,1312550,tt27126700
The Art of Telling Lies,0.0,0,3.375,3.2433333333333336,"['Crime', 'Drama', 'Thriller']",3.717,"['SH Loki', 'Y-US Productions']",0,0,0,2024-08,1197239,tt14393840
A Costa Rican Wedding,0.0,0,0,20.099,[],3.321,[],0,0,0,2024-08,1310505,tt32820804
Express,0.0,0,0.001,3.0157499999999997,[],3.667,"['Sailboat Films', 'Little Lizard Productions']",0,0,0,2024-07,1234038,tt30990054
Stuck,0.0,0,0.001,0.001,['Drama'],2.888,[],796,0,6,2024-08,1317692,tt32942595
Taki Rua Theatre - Breaking Barriers,0.0,0,0.126,0,[],3.927,[],0,0,80,2024-08,1317850,tt15724040
Telepathic Letters,0.0,0,3.997,7.48475,['Documentary'],4.052,['Bando à Parte'],0,0,70,2024-08,1316820,tt28815991
Black Dog,0.0,0,4.999,28.820300000000003,['Drama'],3.184,['Independent Entertainment'],0,0,96,2023-10,1058903,tt11912032
$55 Private Room in A Safe Quiet Neighborhood,0.0,0,0.001,1.6064999999999996,[],3.123,[],0,0,0,2024-08,1318766,tt28069329
Donor,0.0,0,0.001,0.4005,[],3.567,[],0,0,0,2024-08,1318796,tt31051342
The Milk Situation,0.0,0,0.001,0.5672000000000001,"['Horror', 'Action', 'Comedy']",3.504,['Gunpowder House'],500,0,5,2024-08,1307394,tt32658258
Hope in the Tundra,0.0,0,0.001,0.024,['Horror'],3.436,[],0,0,7,2024-08,1318503,tt32890122
Pace,0.0,0,0.001,6.42175,[],2.846,[],0,0,0,2024-08,1318770,tt31531109
Way Home,0.0,0,12.337,0,[],2.83,[],0,0,98,2024-08,1317159,tt30886032
Like My Brother,0.0,0,0.01,0.02325,['Documentary'],2.99,[],0,0,89,2024-08,1317414,tt3260642
Methuselah,0.0,0,0.001,0.001,"['Horror', 'Documentary']",2.487,['Lone Horse Films'],1000,0,4,2024-08,1286552,tt32244029
Mr. Man's Piano,0.0,0,0.181,1.9983333333333333,[],2.493,[],0,0,0,2024-08,1318777,tt27030649
American Heterosexual Story,0.0,0,0.216,0.35524999999999995,[],2.298,[],0,0,12,2024-08,1319551,tt31490644
Take Note,0.0,0,0.001,0.12091304347826086,[],2.247,[],0,0,13,2024-08,1318807,tt29622675
The Greatest Surf Movie in the Universe,0.0,0,0.001,4.034090909090909,"['Comedy', 'Fantasy', 'Animation']",2.197,"['Bronte Pictures', 'Garage Entertainment']",0,0,77,2023-04,1108663,tt16274700
Summer's End,0.0,0,0.001,8.2054,['Drama'],2.439,['Apple House Pictures'],0,0,20,2024-08,1182712,tt27639483
Nova,0.0,0,0.001,0.001,"['Drama', 'Fantasy']",1.842,['DAW Studios'],20,0,18,2024-08,1311753,tt32810642
Fractal,0.0,0,7.029,5.034599999999999,[],1.96,[],0,0,17,2024-08,1320070,tt21920010
Future Council,0.0,0,7.997,7.997,['Documentary'],1.96,['Madman Entertainment'],0,0,80,2024-08,1319849,tt32757385
I Like Sitting with You,0.0,0,0.091,0.0395,[],1.873,[],0,0,5,2024-08,1318802,tt28945122
Bound by Blood,0.0,0,0.001,0.001,[],1.495,[],8,0,6,2024-08,1293766,tt29657057
Cedric & Alysia,0.0,0,0.001,0.1594,"['Fantasy', 'Romance']",1.4,[],0,0,84,2024-08,1320272,tt31795651
Queens of Concrete,0.0,0,0.84,0.84,['Documentary'],1.4,[],0,0,87,2024-08,1320193,tt29354887
